ontology_name,strategy,tool_name,runtime_s,hypothesis_size,hypothesis_class_count,recovery_rate,recovered_set_precision,valid_explanation,timed_out,peak_memory_mb
ore_ont_13805,C,CATS,19.008002042770386,0,0,,,,False,0.26
ore_ont_13805,C,LETHE,1.7894601821899414,0,0,,,,False,2.41
ore_ont_13805,C,AAA,TIMEOUT,,,,,,True,0.16
ore_ont_13954,A,CATS,302.630966424942,0,0,,,,False,0.26
ore_ont_13954,A,LETHE,1.9812235832214355,1,1,0.0,0.0,True,False,1.28
ore_ont_13954,A,AAA,TIMEOUT,,,,,,True,0.29
ore_ont_13954,B,CATS,302.72742533683777,0,0,,,,False,0.26
ore_ont_13954,B,LETHE,1.7056384086608887,0,0,,,,False,1.74
ore_ont_13954,B,AAA,TIMEOUT,,,,,,True,0.28
ore_ont_13954,C,CATS,TIMEOUT,,,,,,True,0.04
ore_ont_13954,C,LETHE,1.996227741241455,0,0,,,,False,1.91
ore_ont_13954,C,AAA,TIMEOUT,,,,,,True,0.29
ore_ont_1397,A,CATS,TIMEOUT,,,,,,True,0.04
ore_ont_1397,A,LETHE,1.9396610260009766,1,1,0.0,0.0,True,False,1.39
ore_ont_1397,A,AAA,TIMEOUT,,,,,,True,0.31
ore_ont_1397,B,CATS,302.4023914337158,0,0,,,,False,0.26
ore_ont_1397,B,LETHE,1.7824974060058594,0,0,,,,False,1.93
ore_ont_1397,B,AAA,TIMEOUT,,,,,,True,0.29
ore_ont_1397,C,CATS,TIMEOUT,,,,,,True,0.04
ore_ont_1397,C,LETHE,1.9928011894226074,0,0,,,,False,2.07
ore_ont_1397,C,AAA,TIMEOUT,,,,,,True,0.31
ore_ont_15291,A,CATS,301.5768036842346,0,0,,,,False,0.26
ore_ont_15291,A,LETHE,1.212876319885254,1,1,0.0,0.0,True,False,0.66
ore_ont_15291,A,AAA,TIMEOUT,,,,,,True,0.2
ore_ont_15291,B,CATS,301.49876976013184,0,0,,,,False,0.27
ore_ont_15291,B,LETHE,TIMEOUT,,,,,,True,2231.32
ore_ont_15291,B,AAA,TIMEOUT,,,,,,True,0.2
ore_ont_15291,C,CATS,301.54118609428406,0,0,,,,False,0.26
ore_ont_15291,C,LETHE,TIMEOUT,,,,,,True,2727.67
ore_ont_15291,C,AAA,TIMEOUT,,,,,,True,0.2
ore_ont_15682,A,CATS,302.12449288368225,0,0,,,,False,0.27
ore_ont_15682,A,LETHE,1.8506779670715332,1,1,0.0,0.0,True,False,1.16
ore_ont_15682,A,AAA,TIMEOUT,,,,,,True,0.25
ore_ont_15682,B,CATS,301.98058342933655,0,0,,,,False,0.27
ore_ont_15682,B,LETHE,TIMEOUT,,,,,,True,119.4
ore_ont_15682,B,AAA,TIMEOUT,,,,,,True,0.24
ore_ont_15682,C,CATS,302.1144526004791,0,0,,,,False,0.27
ore_ont_15682,C,LETHE,TIMEOUT,,,,,,True,118.32
ore_ont_15682,C,AAA,TIMEOUT,,,,,,True,0.25
ore_ont_16191,A,CATS,302.49511432647705,0,0,,,,False,0.27
ore_ont_16191,A,LETHE,1.5445656776428223,1,1,0.0,0.0,True,False,1.1
