ontology_name,strategy,tool_name,runtime_s,hypothesis_size,hypothesis_class_count,recovery_rate,recovered_set_precision,valid_explanation,timed_out,peak_memory_mb
ore_ont_12948,eq4,LETHE,1.436077356338501,4,4,1.0,0.25,True,False,142.26
ore_ont_12948,eq4,AAA,TIMEOUT,,,,,,True,
ore_ont_12948,eq5,CATS,1.1051201820373535,0,0,,,,False,149.97
ore_ont_12948,eq5,LETHE,1.8018124103546143,13,13,1.0,0.07692307692307693,True,False,151.82
ore_ont_12948,eq5,AAA,TIMEOUT,,,,,,True,
ore_ont_13805,eq1,CATS,121.67479276657104,0,0,,,,False,755.98
ore_ont_13805,eq1,LETHE,1.5635573863983154,2,2,1.0,1.0,True,False,146.02
ore_ont_13805,eq1,AAA,TIMEOUT,,,,,,True,
ore_ont_13805,eq2,CATS,121.90762209892273,0,0,,,,False,763.4
ore_ont_13805,eq2,LETHE,1.6200830936431885,2,2,1.0,1.0,True,False,149.06
ore_ont_13805,eq2,AAA,TIMEOUT,,,,,,True,
ore_ont_13805,eq3,CATS,121.85920929908752,0,0,,,,False,756.21
ore_ont_13805,eq3,LETHE,1.61826491355896,2,2,1.0,1.0,True,False,152.25
ore_ont_13805,eq3,AAA,TIMEOUT,,,,,,True,
ore_ont_13805,eq4,CATS,7.195645093917847,0,0,,,,False,269.78
ore_ont_13805,eq4,LETHE,1.708294153213501,2,2,1.0,1.0,True,False,149.48
ore_ont_13805,eq4,AAA,TIMEOUT,,,,,,True,
ore_ont_13805,eq5,CATS,121.61617040634155,0,0,,,,False,754.63
ore_ont_13805,eq5,LETHE,1.5493345260620117,2,2,1.0,1.0,True,False,147.84
ore_ont_13805,eq5,AAA,TIMEOUT,,,,,,True,
ore_ont_13885,eq1,CATS,81.69095659255981,1,1,1.0,1.0,True,False,660.75
ore_ont_13885,eq1,LETHE,1.3010644912719727,2,2,1.0,0.5,True,False,148.72
ore_ont_13885,eq1,AAA,TIMEOUT,,,,,,True,
ore_ont_13885,eq2,CATS,82.6839542388916,2,2,1.0,0.5,True,False,689.03
ore_ont_13885,eq2,LETHE,1.3331973552703857,3,3,1.0,0.3333333333333333,True,False,156.46
ore_ont_13885,eq2,AAA,TIMEOUT,,,,,,True,
ore_ont_13885,eq3,CATS,78.81340098381042,14,14,1.0,0.07142857142857142,False,False,644.89
ore_ont_13885,eq3,LETHE,1.707763910293579,1,1,0.0,0.0,False,False,157.71
ore_ont_13885,eq3,AAA,TIMEOUT,,,,,,True,
ore_ont_13885,eq4,CATS,79.71464538574219,6,6,1.0,0.16666666666666666,True,False,642.14
ore_ont_13885,eq4,LETHE,6.665034055709839,1,1,0.0,0.0,True,False,676.52
ore_ont_13885,eq4,AAA,TIMEOUT,,,,,,True,
ore_ont_13885,eq5,CATS,83.23916554450989,5,4,1.0,0.25,True,False,662.9
ore_ont_13885,eq5,LETHE,1.8262369632720947,1,1,0.0,0.0,True,False,179.11
ore_ont_13885,eq5,AAA,TIMEOUT,,,,,,True,
ore_ont_1397,eq1,CATS,TIMEOUT,,,,,,True,
ore_ont_1397,eq1,LETHE,2.885963201522827,1,1,0.0,0.0,True,False,257.28
ore_ont_1397,eq1,AAA,TIMEOUT,,,,,,True,
ore_ont_1397,eq2,CATS,133.34260773658752,0,0,,,,False,687.13
ore_ont_1397,eq2,LETHE,2.3666434288024902,2,2,1.0,1.0,True,False,182.73
ore_ont_1397,eq2,AAA,TIMEOUT,,,,,,True,
ore_ont_1397,eq3,CATS,295.21080350875854,0,0,,,,False,706.2
ore_ont_1397,eq3,LETHE,2.5076353549957275,2,2,1.0,1.0,True,False,185.68
ore_ont_1397,eq3,AAA,TIMEOUT,,,,,,True,
ore_ont_1397,eq4,CATS,122.60498714447021,0,0,,,,False,372.86
ore_ont_1397,eq4,LETHE,2.4323079586029053,2,2,1.0,1.0,True,False,189.81
ore_ont_1397,eq4,AAA,TIMEOUT,,,,,,True,
ore_ont_1397,eq5,CATS,126.29486918449402,0,0,,,,False,641.63
ore_ont_1397,eq5,LETHE,2.3778977394104004,2,2,1.0,1.0,True,False,190.2
ore_ont_1397,eq5,AAA,TIMEOUT,,,,,,True,
ore_ont_14883,eq1,CATS,121.344313621521,0,0,,,,False,657.02
ore_ont_14883,eq1,LETHE,1.6006860733032227,2,2,1.0,1.0,True,False,208.03
ore_ont_14883,eq1,AAA,TIMEOUT,,,,,,True,
ore_ont_14883,eq2,CATS,121.33560919761658,0,0,,,,False,668.33
ore_ont_14883,eq2,LETHE,"ERROR: WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by com.github.benmanes.caffeine.cache.UnsafeAccess (file:/C:/Users/mydah/pycharmprojects/thesis_experiment/tools/lethe-abduction.jar)
WARNING: Please consider reporting this to the maintainers of class com.github.benmanes.caffeine.cache.UnsafeAccess
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
Exception in thread ""main"" java.lang.AssertionError: assertion failed
	at scala.Predef$.assert(Predef.scala:208)
	at uk.ac.man.cs.lethe.internal.dl.abduction.DeNegator$.negateIntoNNF(DeNegator.scala:392)
	at uk.ac.man.cs.lethe.internal.dl.abduction.DeNegator$.$anonfun$negateIntoNNF$3(DeNegator.scala:391)
	at scala.collection.TraversableLike.$anonfun$map$1(TraversableLike.scala:237)
	at scala.collection.immutable.Set$Set1.foreach(Set.scala:97)
	at scala.collection.TraversableLike.map(TraversableLike.scala:237)
	at scala.collection.TraversableLike.map$(TraversableLike.scala:230)
	at scala.collection.AbstractSet.scala$collection$SetLike$$super$map(Set.scala:51)
	at scala.collection.SetLike.map(SetLike.scala:104)
	at scala.collection.SetLike.map$(SetLike.scala:104)
	at scala.collection.AbstractSet.map(Set.scala:51)
	at uk.ac.man.cs.lethe.internal.dl.abduction.DeNegator$.negateIntoNNF(DeNegator.scala:391)
	at uk.ac.man.cs.lethe.internal.dl.abduction.DeNegator$.negateIntoNNF(DeNegator.scala:381)
	at uk.ac.man.cs.lethe.internal.dl.abduction.DeNegator$.$anonfun$denegate$1(DeNegator.scala:63)
	at scala.collection.TraversableLike.$anonfun$map$1(TraversableLike.scala:237)
	at scala.collection.immutable.HashSet$HashSet1.foreach(HashSet.scala:321)
	at scala.collection.immutable.HashSet$HashTrieSet.foreach(HashSet.scala:977)
	at scala.collection.TraversableLike.map(TraversableLike.scala:237)
	at scala.collection.TraversableLike.map$(TraversableLike.scala:230)
	at scala.collection.AbstractSet.scala$collection$SetLike$$super$map(Set.scala:51)
	at scala.collection.SetLike.map(SetLike.scala:104)
	at scala.collection.SetLike.map$(SetLike.scala:104)
	at scala.collection.AbstractSet.map(Set.scala:51)
	at uk.ac.man.cs.lethe.internal.dl.abduction.DeNegator$.denegate(DeNegator.scala:63)
	at uk.ac.man.cs.lethe.abduction.FullAbducer.abduce(FullAbducer.scala:42)
	at uk.ac.man.cs.lethe.abduction.OWLAbducer.abduce(OWLAbducer.scala:103)
	at uk.ac.man.cs.lethe.abduction.cmd.AbductionCmd$.main(AbductionCmd.scala:60)
	at uk.ac.man.cs.lethe.abduction.cmd.AbductionCmd.main(AbductionCmd.scala)",,,,,,False,204.26
ore_ont_14883,eq2,AAA,TIMEOUT,,,,,,True,
ore_ont_14883,eq3,CATS,121.32984375953674,0,0,,,,False,672.04
